Year,Calendar Day,Despatch Consumption Balance (Dcb) Or Internal Consumption Balance (Icb),Type Of Mode : Pithead Or Non-Pithead,Number Of Coal Plants,Capacity Of The Coal Plant(MegaWatt),Daily Requirement(Tonne),Domestic Stock (Tonne),Imported Stock (Tonne),Normative Stock (Tonne),Percentage Of Actual Stock Vis-A-Vis Normative Stock,Total Stock,Stock Surplus/Deficit,Days of Stock Available,Domestic Dependency,Import Dependency,Risk Category
2025,2025-12-26,ICB,Non-Pithead,18,20033.00,207.67,441.80,3116.90,4776.60,74%,3558.70,-1217.90,17.14,12.41%,87.59%,Moderate
2025,2025-12-16,DCB,Pithead,18,41640.00,582.55,8145.90,0.00,8738.10,93%,8145.90,-592.20,13.98,100.00%,0.00%,Low Buffer
2025,2025-12-16,ICB,Non-Pithead,17,18713.00,192.27,248.70,3129.30,4422.30,76%,3378.00,-1044.30,17.57,7.36%,92.64%,Moderate
2025,2025-12-15,DCB,Pithead,18,41640.00,582.55,8101.10,0.00,8738.10,92%,8101.10,-637.00,13.91,100.00%,0.00%,Low Buffer
2025,2025-12-15,ICB,Non-Pithead,17,18713.00,192.27,254.00,3132.20,4422.30,76%,3386.20,-1036.10,17.61,7.50%,92.50%,Moderate
2025,2025-12-14,DCB,Pithead,18,41640.00,582.55,8090.70,0.00,8738.10,92%,8090.70,-647.40,13.89,100.00%,0.00%,Low Buffer
2025,2025-12-14,ICB,Non-Pithead,17,18713.00,192.27,260.40,3139.90,4422.30,76%,3400.30,-1022.00,17.69,7.66%,92.34%,Moderate
2025,2025-12-12,DCB,Pithead,18,41640.00,582.55,8035.00,0.00,8738.10,91%,8035.00,-703.10,13.79,100.00%,0.00%,Low Buffer
2025,2025-12-12,ICB,Non-Pithead,17,18713.00,192.27,238.60,3099.80,4422.30,75%,3338.40,-1083.90,17.36,7.15%,92.85%,Moderate
2025,2025-12-11,DCB,Pithead,18,41640.00,582.55,7994.60,0.00,8738.10,91%,7994.60,-743.50,13.72,100.00%,0.00%,Low Buffer
2025,2025-12-11,ICB,Non-Pithead,17,18713.00,192.27,229.10,3092.80,4422.30,75%,3321.90,-1100.40,17.28,6.90%,93.10%,Moderate
2025,2025-12-10,DCB,Pithead,18,41640.00,582.55,7968.60,0.00,8738.10,91%,7968.60,-769.50,13.68,100.00%,0.00%,Low Buffer
2025,2025-12-10,ICB,Non-Pithead,17,18713.00,192.27,221.00,3106.40,4422.30,75%,3327.40,-1094.90,17.31,6.64%,93.36%,Moderate
2025,2025-12-09,DCB,Pithead,18,41640.00,582.55,7930.20,0.00,8738.10,90%,7930.20,-807.90,13.61,100.00%,0.00%,Low Buffer
2025,2025-12-09,ICB,Non-Pithead,17,18713.00,192.27,222.10,3124.10,4422.30,75%,3346.20,-1076.10,17.40,6.64%,93.36%,Moderate
2025,2025-12-08,DCB,Pithead,18,41640.00,582.55,7887.80,0.00,8738.10,90%,7887.80,-850.30,13.54,100.00%,0.00%,Low Buffer
2025,2025-12-08,ICB,Non-Pithead,17,18713.00,192.27,227.30,3133.40,4422.30,75%,3360.70,-1061.60,17.48,6.76%,93.24%,Moderate
2025,2025-12-07,DCB,Pithead,18,41640.00,582.55,7865.10,0.00,8738.10,90%,7865.10,-873.00,13.50,100.00%,0.00%,Low Buffer
2025,2025-12-07,ICB,Non-Pithead,17,18713.00,192.27,232.20,3132.60,4422.30,76%,3364.80,-1057.50,17.50,6.90%,93.10%,Moderate
2025,2025-12-06,DCB,Pithead,18,41640.00,582.55,7804.00,0.00,8738.10,89%,7804.00,-934.10,13.40,100.00%,0.00%,Low Buffer
2025,2025-12-06,ICB,Non-Pithead,17,18713.00,192.27,234.50,3117.80,4422.30,75%,3352.30,-1070.00,17.44,7.00%,93.00%,Moderate
2025,2025-12-05,DCB,Pithead,18,41640.00,582.55,7777.70,0.00,8738.10,89%,7777.70,-960.40,13.35,100.00%,0.00%,Low Buffer
2025,2025-12-05,ICB,Non-Pithead,17,18713.00,192.27,238.60,3101.20,4422.30,75%,3339.80,-1082.50,17.37,7.14%,92.86%,Moderate
2025,2025-12-04,DCB,Pithead,18,41640.00,582.55,7730.90,0.00,8738.10,88%,7730.90,-1007.20,13.27,100.00%,0.00%,Low Buffer
2025,2025-12-04,ICB,Non-Pithead,17,18713.00,192.27,241.90,3065.50,4422.30,74%,3307.40,-1114.90,17.20,7.31%,92.69%,Moderate
2025,2025-12-03,DCB,Pithead,18,41640.00,582.55,7700.40,0.00,8738.10,88%,7700.40,-1037.70,13.22,100.00%,0.00%,Low Buffer
2025,2025-12-03,ICB,Non-Pithead,17,18713.00,192.27,247.70,3042.70,4422.30,74%,3290.40,-1131.90,17.11,7.53%,92.47%,Moderate
2025,2025-12-01,DCB,Pithead,18,41640.00,582.55,7682.50,0.00,8738.10,87%,7682.50,-1055.60,13.19,100.00%,0.00%,Low Buffer
2025,2025-12-01,ICB,Non-Pithead,17,18713.00,192.27,256.60,2930.40,4422.30,72%,3187.00,-1235.30,16.58,8.05%,91.95%,Moderate
2025,2025-11-30,DCB,Pithead,18,41640.00,582.55,7670.50,0.00,8155.40,94%,7670.50,-484.90,13.17,100.00%,0.00%,Low Buffer
2025,2025-11-30,ICB,Non-Pithead,17,18713.00,192.27,260.50,2893.70,4229.90,74%,3154.20,-1075.70,16.41,8.26%,91.74%,Moderate
2025,2025-11-29,DCB,Pithead,18,41640.00,582.55,7623.90,0.00,8155.40,93%,7623.90,-531.50,13.09,100.00%,0.00%,Low Buffer
2025,2025-11-29,ICB,Non-Pithead,17,18713.00,192.27,262.80,2885.90,4229.90,74%,3148.70,-1081.20,16.38,8.35%,91.65%,Moderate
2025,2025-11-28,DCB,Pithead,18,41640.00,582.55,7610.10,0.00,8155.40,93%,7610.10,-545.30,13.06,100.00%,0.00%,Low Buffer
2025,2025-11-28,ICB,Non-Pithead,17,18713.00,192.27,266.00,2912.90,4229.90,75%,3178.90,-1051.00,16.53,8.37%,91.63%,Moderate
2025,2025-11-27,DCB,Pithead,18,41640.00,582.55,7622.80,0.00,8155.40,93%,7622.80,-532.60,13.09,100.00%,0.00%,Low Buffer
2025,2025-11-27,ICB,Non-Pithead,17,18713.00,192.27,270.30,2941.70,4229.90,75%,3212.00,-1017.90,16.71,8.42%,91.58%,Moderate
2025,2025-11-26,DCB,Pithead,18,41640.00,582.55,7632.50,0.00,8155.40,93%,7632.50,-522.90,13.10,100.00%,0.00%,Low Buffer
2025,2025-11-26,ICB,Non-Pithead,17,18713.00,192.27,272.30,2959.40,4229.90,76%,3231.70,-998.20,16.81,8.43%,91.57%,Moderate
2025,2025-11-25,DCB,Pithead,18,41640.00,582.55,7658.80,0.00,8155.40,93%,7658.80,-496.60,13.15,100.00%,0.00%,Low Buffer
2025,2025-11-25,ICB,Non-Pithead,17,18713.00,192.27,274.40,2972.40,4229.90,76%,3246.80,-983.10,16.89,8.45%,91.55%,Moderate
2025,2025-11-24,DCB,Pithead,18,41640.00,582.55,7647.40,0.00,8155.40,93%,7647.40,-508.00,13.13,100.00%,0.00%,Low Buffer
2025,2025-11-24,ICB,Non-Pithead,17,18713.00,192.27,277.80,2992.30,4229.90,77%,3270.10,-959.80,17.01,8.50%,91.50%,Moderate
2025,2025-11-23,DCB,Pithead,18,41640.00,582.55,7615.40,0.00,8155.40,93%,7615.40,-540.00,13.07,100.00%,0.00%,Low Buffer
2025,2025-11-23,ICB,Non-Pithead,17,18713.00,192.27,280.10,3017.70,4229.90,77%,3297.80,-932.10,17.15,8.49%,91.51%,Moderate
2025,2025-11-22,DCB,Pithead,18,41640.00,582.55,7602.50,0.00,8155.40,93%,7602.50,-552.90,13.05,100.00%,0.00%,Low Buffer
2025,2025-11-22,ICB,Non-Pithead,17,18713.00,192.27,282.40,3039.90,4229.90,78%,3322.30,-907.60,17.28,8.50%,91.50%,Moderate
2025,2025-11-21,DCB,Pithead,18,41640.00,582.55,7583.40,0.00,8155.40,92%,7583.40,-572.00,13.02,100.00%,0.00%,Low Buffer
2025,2025-11-21,ICB,Non-Pithead,17,18713.00,192.27,284.50,3025.90,4229.90,78%,3310.40,-919.50,17.22,8.59%,91.41%,Moderate
2025,2025-11-20,DCB,Pithead,18,41640.00,582.55,7584.60,0.00,8155.40,93%,7584.60,-570.80,13.02,100.00%,0.00%,Low Buffer
2025,2025-11-20,ICB,Non-Pithead,17,18713.00,192.27,286.70,3015.90,4229.90,78%,3302.60,-927.30,17.18,8.68%,91.32%,Moderate
2025,2025-11-19,DCB,Pithead,18,41640.00,582.55,7540.60,0.00,8155.40,92%,7540.60,-614.80,12.94,100.00%,0.00%,Low Buffer
2025,2025-11-19,ICB,Non-Pithead,17,18713.00,192.27,287.20,3000.20,4229.90,77%,3287.40,-942.50,17.10,8.74%,91.26%,Moderate
2025,2025-11-18,DCB,Pithead,18,41640.00,582.55,7527.70,0.00,8155.40,92%,7527.70,-627.70,12.92,100.00%,0.00%,Low Buffer
2025,2025-11-18,ICB,Non-Pithead,17,18713.00,192.27,288.70,3035.60,4229.90,78%,3324.30,-905.60,17.29,8.68%,91.32%,Moderate
2025,2025-11-17,DCB,Pithead,18,41640.00,582.55,7581.20,0.00,8155.40,92%,7581.20,-574.20,13.01,100.00%,0.00%,Low Buffer
2025,2025-11-17,ICB,Non-Pithead,17,18713.00,192.27,279.30,3051.30,4229.90,78%,3330.60,-899.30,17.32,8.39%,91.61%,Moderate
2025,2025-11-16,DCB,Pithead,18,41640.00,582.55,7621.80,0.00,8155.40,93%,7621.80,-533.60,13.08,100.00%,0.00%,Low Buffer
2025,2025-11-16,ICB,Non-Pithead,17,18713.00,192.27,268.10,3062.20,4229.90,78%,3330.30,-899.60,17.32,8.05%,91.95%,Moderate
2025,2025-11-13,DCB,Pithead,18,41640.00,582.55,7515.20,0.00,8155.40,92%,7515.20,-640.20,12.90,100.00%,0.00%,Low Buffer
2025,2025-11-13,ICB,Non-Pithead,17,18713.00,192.27,243.10,3100.70,4229.90,79%,3343.80,-886.10,17.39,7.27%,92.73%,Moderate
2025,2025-11-12,DCB,Pithead,18,41640.00,582.55,7479.80,0.00,8155.40,91%,7479.80,-675.60,12.84,100.00%,0.00%,Low Buffer
2025,2025-11-12,ICB,Non-Pithead,17,18713.00,192.27,230.80,3114.30,4229.90,79%,3345.10,-884.80,17.40,6.90%,93.10%,Moderate
2025,2025-11-11,DCB,Pithead,18,41640.00,582.55,7452.70,0.00,8155.40,91%,7452.70,-702.70,12.79,100.00%,0.00%,Low Buffer
2025,2025-11-11,ICB,Non-Pithead,17,18713.00,192.27,224.40,3121.60,4229.90,79%,3346.00,-883.90,17.40,6.71%,93.29%,Moderate
2025,2025-11-10,DCB,Pithead,18,41640.00,582.55,7447.60,0.00,8155.40,91%,7447.60,-707.80,12.78,100.00%,0.00%,Low Buffer
2025,2025-11-10,ICB,Non-Pithead,17,18713.00,192.27,223.90,3107.90,4229.90,78%,3331.80,-898.10,17.33,6.72%,93.28%,Moderate
2025,2025-11-09,DCB,Pithead,18,41640.00,582.55,7417.30,0.00,8155.40,90%,7417.30,-738.10,12.73,100.00%,0.00%,Low Buffer
2025,2025-11-09,ICB,Non-Pithead,17,18713.00,192.27,220.20,3093.80,4229.90,78%,3314.00,-915.90,17.24,6.64%,93.36%,Moderate
2025,2025-11-06,DCB,Pithead,18,41640.00,582.55,7307.20,0.00,8155.40,89%,7307.20,-848.20,12.54,100.00%,0.00%,Low Buffer
2025,2025-11-06,ICB,Non-Pithead,17,18669.00,191.89,225.70,2987.50,4221.60,76%,3213.20,-1008.40,16.75,7.02%,92.98%,Moderate
2025,2025-11-05,DCB,Pithead,18,41640.00,582.55,7306.50,0.00,8155.40,89%,7306.50,-848.90,12.54,100.00%,0.00%,Low Buffer
2025,2025-11-05,ICB,Non-Pithead,17,18669.00,191.89,229.40,2994.30,4221.60,76%,3223.70,-997.90,16.80,7.12%,92.88%,Moderate
2025,2025-11-04,DCB,Pithead,18,41640.00,582.55,7267.50,0.00,8155.40,89%,7267.50,-887.90,12.48,100.00%,0.00%,Low Buffer
2025,2025-11-04,ICB,Non-Pithead,17,18669.00,191.89,233.00,2999.80,4221.60,76%,3232.80,-988.80,16.85,7.21%,92.79%,Moderate
2025,2025-11-03,DCB,Pithead,18,41640.00,582.55,7218.40,0.00,8155.40,88%,7218.40,-937.00,12.39,100.00%,0.00%,Low Buffer
2025,2025-11-03,ICB,Non-Pithead,17,18669.00,191.89,236.60,2979.40,4221.60,76%,3216.00,-1005.60,16.76,7.36%,92.64%,Moderate
2025,2025-11-02,DCB,Pithead,18,41640.00,582.55,7196.50,0.00,8155.40,88%,7196.50,-958.90,12.35,100.00%,0.00%,Low Buffer
2025,2025-11-02,ICB,Non-Pithead,17,18669.00,191.89,238.40,2952.60,4221.60,75%,3191.00,-1030.60,16.63,7.47%,92.53%,Moderate
2025,2025-11-01,DCB,Pithead,18,41640.00,582.55,7138.30,0.00,8155.40,87%,7138.30,-1017.10,12.25,100.00%,0.00%,Low Buffer
2025,2025-11-01,ICB,Non-Pithead,17,18669.00,191.89,238.40,2938.90,4221.60,75%,3177.30,-1044.30,16.56,7.50%,92.50%,Moderate
2025,2025-10-27,DCB,Pithead,18,41640.00,582.55,7035.00,0.00,7573.10,92%,7035.00,-538.10,12.08,100.00%,0.00%,Low Buffer
2025,2025-10-27,ICB,Non-Pithead,17,18669.00,191.89,204.40,3037.60,4029.70,80%,3242.00,-787.70,16.90,6.30%,93.70%,Moderate
2025,2025-10-26,DCB,Pithead,18,41640.00,582.55,7043.80,0.00,7573.10,93%,7043.80,-529.30,12.09,100.00%,0.00%,Low Buffer
2025,2025-10-26,ICB,Non-Pithead,17,18669.00,191.89,204.40,3074.00,4029.70,81%,3278.40,-751.30,17.08,6.23%,93.77%,Moderate
2025,2025-10-25,DCB,Pithead,18,41640.00,582.55,7018.10,0.00,7573.10,92%,7018.10,-555.00,12.05,100.00%,0.00%,Low Buffer
2025,2025-10-25,ICB,Non-Pithead,17,18669.00,191.89,204.40,3081.20,4029.70,81%,3285.60,-744.10,17.12,6.22%,93.78%,Moderate
2025,2025-10-24,DCB,Pithead,18,41640.00,582.55,7019.00,0.00,7573.10,92%,7019.00,-554.10,12.05,100.00%,0.00%,Low Buffer
2025,2025-10-24,ICB,Non-Pithead,17,18669.00,191.89,204.40,3070.50,4029.70,81%,3274.90,-754.80,17.07,6.24%,93.76%,Moderate
2025,2025-10-23,DCB,Pithead,18,41640.00,582.55,7051.70,0.00,7573.10,93%,7051.70,-521.40,12.10,100.00%,0.00%,Low Buffer
2025,2025-10-23,ICB,Non-Pithead,17,18669.00,191.89,204.40,3046.60,4029.70,80%,3251.00,-778.70,16.94,6.29%,93.71%,Moderate
2025,2025-10-22,DCB,Pithead,18,41640.00,582.55,7094.20,0.00,7573.10,93%,7094.20,-478.90,12.18,100.00%,0.00%,Low Buffer
