Year,Calendar Day,Despatch Consumption Balance (Dcb) Or Internal Consumption Balance (Icb),Type Of Mode : Pithead Or Non-Pithead,"Number Of Coal Plants (UOM:Number), Scaling Factor:1","Capacity Of The Coal Plant (UOM:MW(MegaWatt)), Scaling Factor:1","Daily Requirement (UOM:t(Tonne)), Scaling Factor:1000","Domestic Stock (UOM:t(Tonne)), Scaling Factor:1000","Imported Stock  (UOM:t(Tonne)), Scaling Factor:1000","Normative Stock (UOM:t(Tonne)), Scaling Factor:1000","Percentage Of Actual Stock Vis-A-Vis Normative Stock  (UOM:%(Percentage)), Scaling Factor:1"
"Calendar Year (Jan - Dec), 2021",2021-11-02,,Pithead,16,35200.000000000000,438.1100000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-11-02,,Non-Pithead,119,129866.000000000000,1365.5000000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-11-01,,Pithead,16,35200.000000000000,438.4100000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-11-01,,Non-Pithead,119,129866.000000000000,1363.5000000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-31,,Pithead,16,35200.000000000000,438.8800000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-31,,Non-Pithead,119,129866.000000000000,1357.1200000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-30,,Pithead,16,35200.000000000000,441.8800000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-30,,Non-Pithead,119,129866.000000000000,1311.0700000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-29,,Pithead,16,35200.000000000000,441.7500000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-29,,Non-Pithead,119,129866.000000000000,1353.2300000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-28,,Pithead,16,35200.000000000000,439.5100000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-28,,Non-Pithead,119,129866.000000000000,1358.9300000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-27,,Pithead,16,35200.000000000000,438.6100000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-27,,Non-Pithead,119,129866.000000000000,1364.1300000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-26,,Pithead,16,35200.000000000000,435.0400000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-26,,Non-Pithead,119,129866.000000000000,1366.4800000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-25,,Pithead,16,35200.000000000000,429.4000000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-25,,Non-Pithead,119,129866.000000000000,1363.4900000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-24,,Pithead,16,35200.000000000000,430.7800000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-24,,Non-Pithead,119,129866.000000000000,1367.6400000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-23,,Pithead,16,35200.000000000000,433.5500000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-23,,Non-Pithead,119,129866.000000000000,1372.6500000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-22,,Pithead,16,35200.000000000000,438.3800000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-22,,Non-Pithead,119,129866.000000000000,1372.5800000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-21,,Pithead,16,35200.000000000000,443.0500000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-21,,Non-Pithead,119,129866.000000000000,1375.4700000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-20,,Pithead,16,35200.000000000000,444.5600000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-20,,Non-Pithead,119,129866.000000000000,1380.7900000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-19,,Pithead,16,35200.000000000000,446.0200000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-19,,Non-Pithead,119,129866.000000000000,1390.0400000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-18,,Pithead,16,35200.000000000000,450.8000000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-18,,Non-Pithead,119,129866.000000000000,1407.6300000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-17,,Pithead,16,35200.000000000000,452.5200000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-17,,Non-Pithead,119,129866.000000000000,1413.2300000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-16,,Pithead,16,35200.000000000000,453.0000000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-16,,Non-Pithead,119,129866.000000000000,1413.3800000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-15,,Pithead,16,35200.000000000000,454.5800000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-15,,Non-Pithead,119,129866.000000000000,1418.8500000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-14,,Pithead,16,35200.000000000000,457.1500000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-14,,Non-Pithead,119,129866.000000000000,1422.1100000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-13,,Pithead,16,35200.000000000000,461.3800000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-13,,Non-Pithead,119,129866.000000000000,1417.5400000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-12,,Pithead,16,35200.000000000000,466.5500000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-12,,Non-Pithead,119,129866.000000000000,1407.0800000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-11,,Pithead,16,35200.000000000000,471.4300000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-11,,Non-Pithead,119,129866.000000000000,1399.0000000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-10,,Pithead,16,35200.000000000000,471.4800000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-10,,Non-Pithead,119,129866.000000000000,1394.8100000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-09,,Pithead,16,35200.000000000000,468.8200000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-09,,Non-Pithead,119,129866.000000000000,1391.4300000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-08,,Pithead,16,35200.000000000000,469.8400000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-08,,Non-Pithead,119,129866.000000000000,1389.5000000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-07,,Pithead,16,35200.000000000000,472.4600000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-07,,Non-Pithead,119,129866.000000000000,1382.2600000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-06,,Pithead,16,35200.000000000000,471.3600000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-06,,Non-Pithead,119,129866.000000000000,1370.8400000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-05,,Pithead,16,35200.000000000000,466.7500000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-05,,Non-Pithead,119,129866.000000000000,1365.0400000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-04,,Pithead,16,35200.000000000000,463.1300000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-04,,Non-Pithead,119,129866.000000000000,1359.5100000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-03,,Pithead,16,35200.000000000000,464.1900000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-03,,Non-Pithead,119,129866.000000000000,1359.9400000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-02,,Pithead,16,35200.000000000000,466.2000000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-02,,Non-Pithead,119,129866.000000000000,1362.8700000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-01,,Pithead,16,35200.000000000000,461.7100000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-10-01,,Non-Pithead,119,129866.000000000000,1365.6000000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-30,,Pithead,16,35200.000000000000,455.9000000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-30,,Non-Pithead,119,129866.000000000000,1369.0600000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-29,,Pithead,16,35200.000000000000,452.2900000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-29,,Non-Pithead,119,129866.000000000000,1375.9700000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-28,,Pithead,16,35200.000000000000,453.2000000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-28,,Non-Pithead,119,129866.000000000000,1375.8200000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-27,,Pithead,16,35200.000000000000,454.2200000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-27,,Non-Pithead,119,129866.000000000000,1394.0100000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-26,,Pithead,16,35200.000000000000,458.7800000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-26,,Non-Pithead,119,129866.000000000000,1405.6800000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-25,,Pithead,16,35200.000000000000,464.7700000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-25,,Non-Pithead,119,129866.000000000000,1405.5800000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-24,,Pithead,16,35200.000000000000,469.9000000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-24,,Non-Pithead,119,129866.000000000000,1405.0700000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-23,,Pithead,16,35200.000000000000,471.3200000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-23,,Non-Pithead,119,129866.000000000000,1426.1400000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-22,,Pithead,16,35200.000000000000,472.1200000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-22,,Non-Pithead,119,129866.000000000000,1418.4400000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-21,,Pithead,,35200.000000000000,467.8800000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-21,,Non-Pithead,,132686.000000000000,1431.5100000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-20,,Pithead,,35200.000000000000,461.0600000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-20,,Non-Pithead,,132686.000000000000,1411.8900000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-19,,Pithead,,35200.000000000000,451.6000000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-19,,Non-Pithead,,132686.000000000000,1395.3100000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-18,,Pithead,,35200.000000000000,443.7900000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-18,,Non-Pithead,,132686.000000000000,1384.5800000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-17,,Pithead,,35200.000000000000,440.2100000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-17,,Non-Pithead,,132686.000000000000,1384.3400000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-16,,Pithead,,35200.000000000000,438.8600000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-16,,Non-Pithead,,132686.000000000000,1387.1500000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-15,,Pithead,,35200.000000000000,439.5100000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-15,,Non-Pithead,,132686.000000000000,1385.6400000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-14,,Pithead,,35200.000000000000,443.8400000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-14,,Non-Pithead,,132386.000000000000,1390.4200000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-13,,Pithead,,35200.000000000000,449.7900000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-13,,Non-Pithead,,132386.000000000000,1406.0200000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-12,,Pithead,,35200.000000000000,458.9000000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-12,,Non-Pithead,,132386.000000000000,1423.5700000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-11,,Pithead,,35200.000000000000,468.6300000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-11,,Non-Pithead,,132386.000000000000,1429.2000000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-10,,Pithead,,35200.000000000000,476.9300000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-10,,Non-Pithead,,132386.000000000000,1432.2600000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-09,,Pithead,,35200.000000000000,480.8700000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-09,,Non-Pithead,,132386.000000000000,1431.7600000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-08,,Pithead,,35200.000000000000,483.3200000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-08,,Non-Pithead,,132386.000000000000,1434.1900000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-07,,Pithead,,35200.000000000000,483.2100000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-07,,Non-Pithead,,132386.000000000000,1434.6800000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-06,,Pithead,16,35200.000000000000,484.0000000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-06,,Non-Pithead,119,132386.000000000000,1429.2100000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-05,,Pithead,,35200.000000000000,483.9500000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-05,,Non-Pithead,,132386.000000000000,1425.1700000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-04,,Pithead,,35200.000000000000,479.8300000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-04,,Non-Pithead,,132386.000000000000,1429.0100000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-03,,Pithead,16,35200.000000000000,473.7100000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-03,,Non-Pithead,119,132386.000000000000,1424.1700000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-02,,Pithead,16,35200.000000000000,467.3200000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-02,,Non-Pithead,119,132386.000000000000,1422.8600000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-01,,Pithead,16,35200.000000000000,461.3000000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-09-01,,Non-Pithead,119,132386.000000000000,1430.3800000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-31,,Pithead,16,35200.000000000000,457.0300000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-31,,Non-Pithead,119,133256.000000000000,1451.5600000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-30,,Pithead,16,35200.000000000000,450.6700000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-30,,Non-Pithead,119,133256.000000000000,1462.7500000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-29,,Pithead,16,35200.000000000000,442.6700000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-29,,Non-Pithead,119,133256.000000000000,1467.6100000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-28,,Pithead,16,35200.000000000000,434.7000000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-28,,Non-Pithead,119,133256.000000000000,1475.8800000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-27,,Pithead,16,35200.000000000000,431.0900000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-27,,Non-Pithead,119,133256.000000000000,1475.7200000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-26,,Pithead,16,35200.000000000000,432.8500000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-26,,Non-Pithead,119,133256.000000000000,1479.1800000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-25,,Pithead,16,35200.000000000000,436.4700000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-25,,Non-Pithead,119,133256.000000000000,1482.1000000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-24,,Pithead,16,35200.000000000000,440.7700000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-24,,Non-Pithead,119,133256.000000000000,1492.4900000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-23,,Pithead,16,35200.000000000000,446.3300000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-23,,Non-Pithead,119,133256.000000000000,1507.3000000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-22,,Pithead,16,35200.000000000000,446.4300000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-22,,Non-Pithead,118,132656.000000000000,1511.2800000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-21,,Pithead,16,35200.000000000000,461.1700000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-21,,Non-Pithead,118,132656.000000000000,1522.3900000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-20,,Pithead,16,35200.000000000000,465.4600000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-20,,Non-Pithead,118,132656.000000000000,1533.9200000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-19,,Pithead,16,35200.000000000000,467.3400000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-19,,Non-Pithead,118,132656.000000000000,1539.0600000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-18,,Pithead,16,35200.000000000000,466.0100000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-18,,Non-Pithead,118,132656.000000000000,1536.7200000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-17,,Pithead,16,35200.000000000000,463.8900000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-17,,Non-Pithead,118,132656.000000000000,1527.2200000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-16,,Pithead,16,35200.000000000000,461.9700000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-16,,Non-Pithead,118,132656.000000000000,1521.9800000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-15,,Pithead,16,35200.000000000000,461.0800000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-15,,Non-Pithead,118,132656.000000000000,1532.5600000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-14,,Pithead,16,35200.000000000000,459.2300000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-14,,Non-Pithead,118,132656.000000000000,1527.3500000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-13,,Pithead,16,35200.000000000000,454.9100000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-13,,Non-Pithead,118,132656.000000000000,1501.6800000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-12,,Pithead,16,35200.000000000000,448.7000000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-12,,Non-Pithead,118,132656.000000000000,1483.8100000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-11,,Pithead,16,35200.000000000000,447.2400000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-11,,Non-Pithead,118,132656.000000000000,1466.5800000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-10,,Pithead,16,35200.000000000000,447.4300000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-10,,Non-Pithead,118,132656.000000000000,1447.2600000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-09,,Pithead,16,35200.000000000000,447.7900000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-09,,Non-Pithead,118,132656.000000000000,1422.3000000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-08,,Pithead,16,35200.000000000000,442.6400000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-08,,Non-Pithead,118,132656.000000000000,1399.0800000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-07,,Pithead,16,35200.000000000000,438.0600000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-07,,Non-Pithead,118,132656.000000000000,1380.6500000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-06,,Pithead,16,35200.000000000000,435.1500000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-06,,Non-Pithead,118,132656.000000000000,1362.1100000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-05,,Pithead,16,35200.000000000000,434.6300000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-05,,Non-Pithead,118,132656.000000000000,1352.3400000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-04,,Pithead,16,35200.000000000000,431.1700000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-04,,Non-Pithead,118,132656.000000000000,1342.9300000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-03,,Pithead,16,35200.000000000000,432.5400000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-03,,Non-Pithead,118,132656.000000000000,1341.4200000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-02,,Pithead,16,35200.000000000000,434.9100000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-02,,Non-Pithead,118,132656.000000000000,1345.7400000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-01,,Pithead,16,35200.000000000000,439.0500000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-08-01,,Non-Pithead,118,132656.000000000000,1352.1100000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-31,,Pithead,16,35200.000000000000,444.6000000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-31,,Non-Pithead,118,132656.000000000000,1359.8400000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-30,,Pithead,16,35200.000000000000,449.3400000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-30,,Non-Pithead,118,132656.000000000000,1373.0400000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-29,,Pithead,16,35200.000000000000,448.2600000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-29,,Non-Pithead,118,132656.000000000000,1380.0800000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-28,,Pithead,16,35200.000000000000,445.9600000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-28,,Non-Pithead,118,132656.000000000000,1383.2400000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-27,,Pithead,16,35200.000000000000,437.9600000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-27,,Non-Pithead,118,132656.000000000000,1371.9100000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-26,,Pithead,16,34400.000000000000,427.3000000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-26,,Non-Pithead,118,132656.000000000000,1358.7100000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-25,,Pithead,16,34400.000000000000,422.8100000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-25,,Non-Pithead,118,132656.000000000000,1356.7300000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-24,,Pithead,16,34400.000000000000,424.9700000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-24,,Non-Pithead,118,132656.000000000000,1367.6000000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-23,,Pithead,16,34400.000000000000,427.3400000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-23,,Non-Pithead,118,132656.000000000000,1377.2200000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-22,,Pithead,16,34400.000000000000,434.2000000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-22,,Non-Pithead,118,132656.000000000000,1388.8200000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-21,,Pithead,16,34400.000000000000,441.6000000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-21,,Non-Pithead,118,132656.000000000000,1403.7300000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-20,,Pithead,16,34400.000000000000,448.6200000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-20,,Non-Pithead,118,132656.000000000000,1426.2500000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-19,,Pithead,16,34400.000000000000,457.4700000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-19,,Non-Pithead,118,132656.000000000000,1444.4000000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-18,,Pithead,16,34400.000000000000,462.0400000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-18,,Non-Pithead,118,132656.000000000000,1452.1900000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-17,,Pithead,16,34400.000000000000,462.6300000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-17,,Non-Pithead,118,132656.000000000000,1448.8800000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-16,,Pithead,16,34400.000000000000,464.7300000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-16,,Non-Pithead,118,132656.000000000000,1447.8200000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-15,,Pithead,16,34400.000000000000,465.6600000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-15,,Non-Pithead,118,132656.000000000000,1456.4700000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-14,,Pithead,16,34400.000000000000,465.6100000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-14,,Non-Pithead,118,132656.000000000000,1482.5500000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-13,,Pithead,16,34400.000000000000,468.5700000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-13,,Non-Pithead,118,132656.000000000000,1505.8600000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-12,,Pithead,16,34400.000000000000,468.2000000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-12,,Non-Pithead,118,132656.000000000000,1519.1200000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-11,,Pithead,16,34400.000000000000,466.4500000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-11,,Non-Pithead,118,132656.000000000000,1520.7900000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-10,,Pithead,16,34400.000000000000,462.4100000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-10,,Non-Pithead,118,132656.000000000000,1512.4400000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-09,,Pithead,16,34400.000000000000,459.1400000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-09,,Non-Pithead,118,132656.000000000000,1504.4800000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-08,,Pithead,16,34400.000000000000,457.7700000000000000,,,,
"Calendar Year (Jan - Dec), 2021",2021-07-08,,Non-Pithead,118,132656.000000000000,1498.7900000000000000,,,,
