Year,Calendar Day,Despatch Consumption Balance (Dcb) Or Internal Consumption Balance (Icb),Type Of Mode : Pithead Or Non-Pithead,"Number Of Coal Plants (UOM:Number), Scaling Factor:1","Capacity Of The Coal Plant (UOM:MW(MegaWatt)), Scaling Factor:1","Daily Requirement (UOM:t(Tonne)), Scaling Factor:1000","Domestic Stock (UOM:t(Tonne)), Scaling Factor:1000","Imported Stock  (UOM:t(Tonne)), Scaling Factor:1000","Normative Stock (UOM:t(Tonne)), Scaling Factor:1000","Percentage Of Actual Stock Vis-A-Vis Normative Stock  (UOM:%(Percentage)), Scaling Factor:1"
"Calendar Year (Jan - Dec), 2025",2025-10-17,ICB,Non-Pithead,17,18669.0,191.89,207.4,2942.5,4029.7,78
"Calendar Year (Jan - Dec), 2025",2025-10-15,DCB,Pithead,18,41640.0,582.55,7021.1,0.0,7573.1,92
"Calendar Year (Jan - Dec), 2025",2025-10-15,ICB,Non-Pithead,17,18669.0,191.89,208.3,2998.8,4029.7,79
"Calendar Year (Jan - Dec), 2025",2025-10-14,DCB,Pithead,18,41640.0,582.55,7017.6,0.0,7573.1,92
"Calendar Year (Jan - Dec), 2025",2025-10-14,ICB,Non-Pithead,17,18669.0,191.89,209.5,3002.2,4029.7,79
"Calendar Year (Jan - Dec), 2025",2025-10-13,DCB,Pithead,18,41640.0,582.55,7034.9,0.0,7573.1,92
"Calendar Year (Jan - Dec), 2025",2025-10-13,ICB,Non-Pithead,17,18669.0,191.89,210.6,3014.3,4029.7,80
"Calendar Year (Jan - Dec), 2025",2025-10-12,DCB,Pithead,18,41640.0,582.55,7084.6,0.0,7573.1,93
"Calendar Year (Jan - Dec), 2025",2025-10-12,ICB,Non-Pithead,17,18669.0,191.89,211.4,2977.1,4029.7,79
"Calendar Year (Jan - Dec), 2025",2025-10-11,DCB,Pithead,18,41640.0,582.55,7092.8,0.0,7573.1,93
"Calendar Year (Jan - Dec), 2025",2025-10-11,ICB,Non-Pithead,17,18669.0,191.89,215.1,2964.1,4029.7,78
"Calendar Year (Jan - Dec), 2025",2025-10-10,DCB,Pithead,18,41640.0,582.55,7108.1,0.0,7573.1,93
"Calendar Year (Jan - Dec), 2025",2025-10-10,ICB,Non-Pithead,17,18669.0,191.89,219.7,2931.1,4029.7,78
"Calendar Year (Jan - Dec), 2025",2025-10-09,DCB,Pithead,18,41640.0,582.55,7126.6,0.0,7573.1,94
"Calendar Year (Jan - Dec), 2025",2025-10-09,ICB,Non-Pithead,17,18669.0,191.89,223.6,2904.0,4029.7,77
"Calendar Year (Jan - Dec), 2025",2025-10-08,DCB,Pithead,18,41640.0,582.55,7179.0,0.0,7573.1,94
"Calendar Year (Jan - Dec), 2025",2025-10-08,ICB,Non-Pithead,17,18669.0,191.89,231.2,2918.8,4029.7,78
"Calendar Year (Jan - Dec), 2025",2025-10-07,DCB,Pithead,18,41640.0,582.55,7194.4,0.0,7573.1,94
